OrderID,CurrentClinicName1,CurrentClinicName2,CurrentClinicCity,CurrentClinicState,MedicalDirector,ND_NumIntentRet1,ND_NumIntentRet2,ND_NumIntentRet3,ND_NumIntentRet4,ND_IntentRetLB1,ND_IntentRetLB2,ND_IntentRetLB3,ND_IntentRetLB4,ND_IntentRetSingleLB1,ND_IntentRetSingleLB2,ND_IntentRetSingleLB3,ND_IntentRetSingleLB4,ND_NumRetrieve1,ND_NumRetrieve2,ND_NumRetrieve3,ND_NumRetrieve4,ND_RetrieveLB1,ND_RetrieveLB2,ND_RetrieveLB3,ND_RetrieveLB4,ND_RetrieveSingleLB1,ND_RetrieveSingleLB2,ND_RetrieveSingleLB3,ND_RetrieveSingleLB4,ND_NumTrans1,ND_NumTrans2,ND_NumTrans3,ND_NumTrans4,ND_TransLB1,ND_TransLB2,ND_TransLB3,ND_TransLB4,ND_TransSingleLB1,ND_TransSingleLB2,ND_TransSingleLB3,ND_TransSingleLB4,ND_IntentRetPerLB1,ND_IntentRetPerLB2,ND_IntentRetPerLB3,ND_IntentRetPerLB4,NewND_1IntentRetLB1,NewND_1IntentRetLB2,NewND_1IntentRetLB3,NewND_1IntentRetLB4,NewND_2IntentRetLB1,NewND_2IntentRetLB2,NewND_2IntentRetLB3,NewND_2IntentRetLB4,NewND_AllIntentRetLB1,NewND_AllIntentRetLB2,NewND_AllIntentRetLB3,NewND_AllIntentRetLB4,NewND_IntentRetPerNew1,NewND_IntentRetPerNew2,NewND_IntentRetPerNew3,NewND_IntentRetPerNew4,NewND_TransPerIntentRet1,NewND_TransPerIntentRet2,NewND_TransPerIntentRet3,NewND_TransPerIntentRet4,Donor_NumTrans1,Donor_NumTrans2,Donor_NumTrans3,Donor_NumTrans4,Donor_TransLB1,Donor_TransLB2,Donor_TransLB3,Donor_TransLB4,Donor_TranSingleLB1,Donor_TranSingleLB2,Donor_TranSingleLB3,Donor_TranSingleLB4,TotNumCycles1,TotNumCycles2,TotNumCycles3,TotNumCycles4,TotNumCyclesAll,CycleCancel1,CycleCancel2,CycleCancel3,CycleCancel4,CycleCancelAll,CycleStop1,CycleStop2,CycleStop3,CycleStop4,CycleStopAll,CycleFertPres1,CycleFertPres2,CycleFertPres3,CycleFertPres4,CycleFertPresAll,TransCarrier1,TransCarrier2,TransCarrier3,TransCarrier4,TransCarrierAll,TransFrozEmb1,TransFrozEmb2,TransFrozEmb3,TransFrozEmb4,TransFrozEmbAll,TransICSI1,TransICSI2,TransICSI3,TransICSI4,TransICSIAll,TransPGT1,TransPGT2,TransPGT3,TransPGT4,TransPGTAll,ReasonMale,ReasonEndo,ReasonTubal,ReasonOvul,ReasonUterine,ReasonPGT,ReasonCarrier,ReasonDOR,ReasonBank,ReasonPregLoss,ReasonOtherInfert,ReasonNonInfert,ReasonUnexplained,DonorEggService,DonatedEmbryoService,EmbryoCryoService,EggCryoService,GestCarrierService,SARTmember,LabAccred,NumResearch,CurrentStateAbbrev
11,ARIZONA ASSOCIATES FOR REPRODUCTIVE HEALTH,,SCOTTSDALE,ARIZONA,"Ketan S. Patel, MD",54,38,28,9,55.6%,42.1%,14.3%,* / 9,50.0%,42.1%,14.3%,* / 9,49,35,24,7,61.2%,45.7%,16.7%,* / 7,55.1%,45.7%,16.7%,* / 7,43,27,10,*,69.8%,59.3%,* / 10,* / *,62.8%,59.3%,* / 10,* / *,1.8,2.4,7.0,4.5,62.2%,48.0%,* / 15,* / 5,73.0%,56.0%,* / 15,* / 5,75.7%,56.0%,* / 15,* / 5,1.3,1.2,1.4,1.0,0.9,0.7,0.3,0.2,0,0,9,0,,,8 / 9,,,,7 / 9,,155,88,76,31,350,4.5%,6.0%,16.4%,10.0%,8.4%,11.9%,17.6%,19.4%,31.0%,16.6%,6.5%,5.7%,2.6%,3.2%,5.1%,1.5%,5.0%,0.0%,* / 11,2.9%,92.6%,90.0%,95.2%,10 / 11,92.1%,92.6%,87.5%,95.2%,8 / 11,90.0%,67.6%,65.0%,66.7%,6 / 11,65.7%,47%,7%,10%,7%,6%,76%,1%,27%,40%,7%,78%,2%,3%,Yes,No,Yes,Yes,Yes,Yes,Yes,0,AZ
12,ARIZONA CENTER FOR FERTILITY STUDIES,(ACFS FERTILITY),SCOTTSDALE,ARIZONA,"Shane T. Lipskind, MD",25,17,23,20,28.0%,5 / 17,17.4%,20.0%,28.0%,5 / 17,17.4%,20.0%,24,17,23,20,29.2%,5 / 17,17.4%,20.0%,29.2%,5 / 17,17.4%,20.0%,9,7,7,*,7 / 9,5 / 7,* / 7,* / *,7 / 9,5 / 7,* / 7,* / *,3.6,3.4,5.8,5.0,6 / 19,* / 9,* / 12,* / 7,7 / 19,* / 9,* / 12,* / 7,7 / 19,* / 9,* / 12,* / 7,1.1,1.2,1.0,1.7,0.5,0.5,0.5,0.3,0,0,14,0,,,8 / 14,,,,8 / 14,,90,63,41,42,236,3.3%,0.0%,0.0%,6.7%,2.6%,5.7%,11.1%,2.4%,22.5%,9.5%,23.3%,6.3%,9.8%,4.8%,13.1%,0.0%,4.5%,* / 19,* / 12,6.0%,100.0%,100.0%,19 / 19,12 / 12,100.0%,100.0%,95.5%,17 / 19,12 / 12,96.4%,93.3%,90.9%,15 / 19,11 / 12,89.2%,12%,7%,7%,6%,3%,64%,1%,31%,64%,3%,0%,0%,1%,Yes,Yes,Yes,Yes,Yes,No,Yes,0,AZ
13,BLOOM REPRODUCTIVE INSTITUTE,,SCOTTSDALE,ARIZONA,"Millie A. Behera, MD",80,57,78,40,52.5%,31.6%,23.1%,2.5%,46.3%,26.3%,16.7%,2.5%,79,52,71,31,53.2%,34.6%,25.4%,3.2%,46.8%,28.8%,18.3%,3.2%,82,38,33,8,51.2%,47.4%,54.5%,* / 8,45.1%,39.5%,39.4%,* / 8,1.9,3.2,4.3,40.0,56.4%,40.0%,19.4%,* / 16,60.0%,42.9%,38.7%,* / 16,61.8%,42.9%,41.9%,* / 16,1.2,1.3,1.5,1.6,1.1,0.7,0.5,0.2,*,*,33,*,* / *,0 / *,42.4%,0 / *,* / *,0 / *,42.4%,0 / *,271,138,113,106,628,3.3%,1.5%,12.9%,14.8%,6.6%,2.3%,3.6%,11.5%,14.4%,6.1%,4.8%,5.1%,1.8%,2.8%,4.0%,0.0%,0.0%,9.1%,8.9%,3.1%,95.6%,95.9%,97.7%,91.1%,95.3%,80.2%,83.8%,90.9%,46.7%,77.2%,80.2%,87.8%,88.6%,82.2%,84.3%,16%,11%,7%,30%,5%,2%,1%,51%,54%,6%,4%,1%,2%,Yes,Yes,Yes,Yes,Yes,Yes,Yes,0,AZ
14,IVF PHOENIX,,SCOTTSDALE,ARIZONA,"John L. Couvaras, MD",50,26,19,22,22.0%,3.8%,* / 19,0.0%,22.0%,3.8%,* / 19,0.0%,45,23,18,18,24.4%,4.3%,* / 18,0 / 18,24.4%,4.3%,* / 18,0 / 18,31,12,11,6,35.5%,* / 12,* / 11,0 / 6,35.5%,* / 12,* / 11,0 / 6,4.5,26.0,4.8,,23.7%,0 / 12,* / 15,0.0%,26.3%,0 / 12,* / 15,0.0%,26.3%,0 / 12,* / 15,0.0%,1.2,1.5,1.1,1.0,0.6,0.4,0.6,0.3,0,0,*,0,,,* / *,,,,* / *,,89,54,58,38,239,5.7%,3.1%,12.8%,8.7%,7.5%,7.0%,9.4%,7.5%,11.1%,8.3%,0.0%,5.6%,0.0%,0.0%,1.3%,10.8%,4.3%,* / 19,* / 15,9.6%,97.3%,95.7%,19 / 19,14 / 15,96.8%,97.3%,95.7%,16 / 19,12 / 15,91.5%,70.3%,73.9%,13 / 19,9 / 15,69.1%,21%,2%,<1%,3%,<1%,3%,2%,13%,48%,15%,16%,10%,29%,Yes,Yes,Yes,Yes,Yes,Yes,Yes,0,AZ
15,"FERTILITY TREATMENT CENTER, PC",,TEMPE,ARIZONA,"H. Randall Craig, MD",63,47,50,50,50.8%,31.9%,12.0%,12.0%,33.3%,29.8%,12.0%,12.0%,58,37,34,41,55.2%,40.5%,17.6%,14.6%,36.2%,37.8%,17.6%,14.6%,67,34,20,31,47.8%,44.1%,30.0%,19.4%,31.3%,41.2%,30.0%,19.4%,2.0,3.1,8.3,8.3,53.5%,8 / 18,20.8%,9.1%,53.5%,8 / 18,25.0%,9.1%,60.5%,9 / 18,25.0%,13.6%,1.2,1.2,1.5,1.4,1.1,1.0,0.5,0.7,0,0,14,39,,,* / 14,33.3%,,,* / 14,23.1%,183,99,129,117,528,16.5%,17.5%,32.5%,36.4%,26.3%,3.0%,4.3%,18.6%,9.7%,8.1%,0.0%,0.0%,0.8%,0.0%,0.2%,1.0%,0.0%,0.0%,0.0%,0.4%,96.0%,87.9%,88.2%,81.0%,89.3%,74.3%,72.7%,78.4%,66.7%,73.0%,8.9%,13.6%,5.9%,9.5%,9.6%,18%,2%,4%,20%,1%,3%,<1%,41%,32%,2%,10%,4%,21%,Yes,Yes,Yes,Yes,Yes,Yes,Yes,0,AZ
16,ARIZONA CENTER FOR REPRODUCTIVE ENDOCRINOLOGY AND INFERTILITY,,TUCSON,ARIZONA,"Timothy J. Gelety, MD",46,29,17,12,50.0%,31.0%,5 / 17,* / 12,43.5%,20.7%,* / 17,* / 12,46,29,17,11,50.0%,31.0%,5 / 17,* / 11,43.5%,20.7%,* / 17,* / 11,66,42,20,14,34.8%,21.4%,25.0%,* / 14,30.3%,14.3%,20.0%,* / 14,2.0,3.2,3.4,6.0,56.1%,6 / 17,* / 9,* / 6,56.1%,7 / 17,* / 9,* / 6,56.1%,7 / 17,* / 9,* / 6,1.0,1.2,1.0,1.0,1.5,1.6,1.3,1.8,5,0,13,0,* / 5,,5 / 13,,* / 5,,* / 13,,110,44,52,46,252,0.0%,0.0%,3.6%,6.3%,2.0%,10.9%,9.1%,5.9%,6.8%,8.8%,0.0%,2.3%,3.8%,6.5%,2.4%,0.0%,0.0%,0.0%,0.0%,0.0%,46.8%,55.6%,60.0%,38.9%,49.5%,36.2%,47.2%,37.5%,66.7%,43.7%,4.3%,2.8%,2.5%,0.0%,2.9%,31%,10%,14%,16%,5%,1%,0%,18%,8%,3%,12%,10%,5%,Yes,Yes,Yes,Yes,Yes,Yes,Yes,0,AZ
17,ARIZONA REPRODUCTIVE INSTITUTE,,TUCSON,ARIZONA,"Mark D Johnson, MD",77,34,29,29,54.5%,29.4%,27.6%,10.3%,36.4%,29.4%,24.1%,10.3%,77,32,26,28,54.5%,31.3%,30.8%,10.7%,36.4%,31.3%,26.9%,10.7%,91,42,15,12,46.2%,23.8%,8 / 15,* / 12,30.8%,23.8%,7 / 15,* / 12,1.8,3.4,3.6,9.7,59.0%,33.3%,6 / 15,* / 14,59.0%,37.0%,6 / 15,* / 14,59.0%,37.0%,6 / 15,* / 14,1.1,1.1,1.5,1.7,1.3,1.2,0.5,0.4,0,*,13,*,,0 / *,* / 13,* / *,,0 / *,* / 13,* / *,178,96,63,37,374,5.4%,4.3%,17.1%,0 / 16,7.0%,8.6%,7.4%,3.5%,13.5%,8.0%,3.4%,7.3%,1.6%,0.0%,3.7%,0.0%,4.3%,0.0%,0.0%,1.1%,100.0%,100.0%,96.4%,90.0%,98.4%,94.7%,91.3%,78.6%,90.0%,91.0%,44.2%,54.3%,50.0%,45.0%,47.6%,23%,6%,15%,13%,3%,10%,1%,27%,39%,8%,20%,6%,10%,No,Yes,Yes,Yes,Yes,Yes,Yes,0,AZ
18,REPRODUCTIVE HEALTH CENTER,,TUCSON,ARIZONA,"Scot M. Hutchison, MD",52,25,23,26,44.2%,36.0%,34.8%,19.2%,44.2%,36.0%,34.8%,19.2%,52,25,21,24,44.2%,36.0%,38.1%,20.8%,44.2%,36.0%,38.1%,20.8%,58,34,16,8,39.7%,26.5%,8 / 16,5 / 8,39.7%,26.5%,8 / 16,5 / 8,2.3,2.8,2.9,5.2,44.1%,9 / 19,* / 8,* / 6,52.9%,9 / 19,5 / 8,* / 6,55.9%,9 / 19,5 / 8,* / 6,1.2,1.2,1.6,2.2,1.2,1.4,0.7,0.2,0,*,9,*,,* / *,* / 9,0 / *,,* / *,* / 9,0 / *,107,77,42,41,267,2.4%,0.0%,10.0%,18.2%,5.6%,36.8%,45.5%,47.5%,56.8%,43.8%,2.8%,6.5%,2.4%,0.0%,3.4%,3.1%,0.0%,10.0%,* / 16,3.6%,96.9%,100.0%,95.0%,15 / 16,97.1%,96.9%,100.0%,100.0%,15 / 16,97.8%,95.3%,81.1%,80.0%,10 / 16,85.4%,8%,10%,15%,6%,11%,4%,3%,8%,3%,4%,8%,9%,28%,Yes,No,Yes,Yes,Yes,No,Yes,0,AZ
19,ARKANSAS FERTILITY CENTER,,LITTLE ROCK,ARKANSAS,"Dean M. Moutos, MD",95,43,28,6,50.5%,32.6%,17.9%,0 / 6,41.1%,25.6%,17.9%,0 / 6,86,39,26,*,55.8%,35.9%,19.2%,0 / *,45.3%,28.2%,19.2%,0 / *,104,49,27,*,46.2%,28.6%,18.5%,0 / *,37.5%,22.4%,18.5%,0 / *,2.0,3.1,5.6,,52.1%,44.0%,* / 14,0 / *,59.2%,48.0%,* / 14,0 / *,59.2%,48.0%,* / 14,0 / *,1.2,1.2,1.4,1.7,1.1,1.1,1.0,0.2,6,0,7,*,* / 6,,* / 7,* / *,* / 6,,* / 7,0 / *,212,77,70,22,381,11.3%,5.4%,3.3%,* / 7,9.0%,20.1%,14.7%,17.4%,19.0%,18.4%,1.9%,0.0%,0.0%,0.0%,1.0%,0.0%,0.0%,0.0%,0 / 17,0.0%,52.4%,57.6%,65.2%,12 / 17,56.9%,75.5%,78.0%,82.6%,13 / 17,77.3%,1.4%,11.9%,26.1%,5 / 17,9.7%,21%,11%,16%,5%,4%,4%,0%,22%,7%,2%,4%,0%,31%,Yes,Yes,Yes,Yes,Yes,Yes,Yes,0,AR
20,LIFESTART FERTILITY CENTER,,AGOURA HILLS,CALIFORNIA,"Anita P. Singh, MD",*,6,0,0,* / *,* / 6,,,* / *,* / 6,,,*,6,0,0,* / *,* / 6,,,* / *,* / 6,,,*,*,0,0,* / *,* / *,,,* / *,* / *,,,1.0,3.0,,,* / *,* / *,,,* / *,* / *,,,* / *,* / *,,,1.0,2.0,,,1.0,0.5,,,0,0,0,0,,,,,,,,,*,5,6,*,17,0 / *,* / 5,* / 5,0 / *,* / 14,0 / *,* / *,0 / *,* / *,* / 14,* / *,* / 5,0 / 6,0 / *,* / 17,0 / *,,0 / *,0 / *,0 / *,* / *,,* / *,* / *,* / *,* / *,,* / *,* / *,* / *,* / *,,* / *,0 / *,* / *,7 / 17,* / 17,* / 17,0 / 17,0 / 17,* / 17,0 / 17,* / 17,10 / 17,0 / 17,* / 17,0 / 17,* / 17,Yes,Yes,Yes,Yes,Yes,Yes,Yes,0,CA
21,ALTA BATES IN VITRO FERTILIZATION PROGRAM,,BERKELEY,CALIFORNIA,"Ryszard J. Chetkowski, MD",*,8,7,5,* / *,* / 8,* / 7,* / 5,* / *,* / 8,* / 7,* / 5,*,8,7,*,* / *,* / 8,* / 7,* / *,* / *,* / 8,* / 7,* / *,6,*,9,*,* / 6,* / *,* / 9,* / *,* / 6,* / *,* / 9,* / *,2.0,2.0,7.0,2.5,* / *,* / *,* / 6,* / *,* / *,* / *,* / 6,* / *,* / *,* / *,* / 6,* / *,1.0,1.3,1.0,1.3,1.5,0.6,1.0,0.5,0,0,8,0,,,* / 8,,,,* / 8,,11,19,15,18,63,0 / 6,0 / 12,0 / 6,* / 7,3.2%,0 / 11,* / 19,* / 15,* / 17,8.1%,* / 11,5 / 19,* / 15,0 / 18,11.1%,* / 6,0 / 8,0 / 8,* / 10,9.4%,5 / 6,7 / 8,7 / 8,10 / 10,90.6%,6 / 6,8 / 8,6 / 8,6 / 10,81.3%,5 / 6,6 / 8,* / 8,7 / 10,62.5%,30%,2%,5%,2%,0%,10%,5%,19%,40%,3%,25%,0%,6%,Yes,Yes,Yes,Yes,Yes,Yes,Yes,0,CA
22,CENTER FOR REPRODUCTIVE HEALTH & GYNECOLOGY,(CRH&G),BEVERLY HILLS,CALIFORNIA,"Sam Najmabadi, MD",22,18,22,23,50.0%,10 / 18,22.7%,17.4%,40.9%,9 / 18,22.7%,17.4%,21,18,20,19,52.4%,10 / 18,25.0%,* / 19,42.9%,9 / 18,25.0%,* / 19,18,14,9,7,11 / 18,10 / 14,5 / 9,* / 7,9 / 18,9 / 14,5 / 9,* / 7,2.0,1.8,4.4,5.8,7 / 11,9 / 16,* / 9,* / 18,7 / 11,10 / 16,* / 9,* / 18,7 / 11,10 / 16,* / 9,* / 18,1.4,1.1,1.8,1.2,0.7,0.8,0.4,0.3,0,0,5,0,,,* / 5,,,,* / 5,,30,27,47,40,144,0.0%,0.0%,0.0%,12.9%,3.5%,0.0%,11.1%,4.3%,2.8%,4.3%,50.0%,33.3%,27.7%,22.5%,31.9%,0 / 10,0 / 8,0 / 18,0 / 14,0.0%,* / 10,* / 8,11 / 18,9 / 14,56.0%,9 / 10,6 / 8,15 / 18,11 / 14,82.0%,* / 10,* / 8,10 / 18,* / 14,38.0%,39%,3%,3%,1%,1%,24%,1%,43%,60%,2%,43%,1%,1%,Yes,Yes,Yes,Yes,Yes,Yes,Yes,0,CA
23,SOUTHERN CALIFORNIA REPRODUCTIVE CENTER,,BEVERLY HILLS,CALIFORNIA,"Mark W. Surrey, MD",203,171,168,222,34.5%,28.1%,18.5%,6.8%,31.0%,26.9%,17.3%,6.8%,191,150,153,184,36.6%,32.0%,20.3%,8.2%,33.0%,30.7%,19.0%,8.2%,161,78,57,36,43.5%,61.5%,54.4%,41.7%,39.1%,59.0%,50.9%,41.7%,2.9,3.6,5.4,14.8,33.8%,28.0%,15.0%,7.4%,37.5%,32.6%,20.0%,9.1%,38.1%,33.3%,22.0%,10.7%,1.1,1.2,1.3,1.3,0.8,0.4,0.3,0.2,0,*,60,*,,0 / *,53.3%,* / *,,0 / *,48.3%,* / *,536,485,456,482,"1,959",3.4%,4.7%,7.4%,12.2%,6.8%,23.7%,25.4%,30.8%,42.7%,30.2%,25.2%,28.2%,21.7%,11.8%,21.8%,9.1%,10.8%,12.7%,15.9%,11.9%,100.0%,98.5%,98.3%,97.8%,98.8%,81.7%,76.2%,67.8%,47.1%,69.0%,93.1%,91.5%,89.0%,87.7%,90.6%,1%,<1%,<1%,<1%,<1%,<1%,1%,1%,44%,<1%,15%,1%,54%,Yes,Yes,Yes,Yes,Yes,Yes,Yes,0,CA
24,FERTILITY CARE OF ORANGE COUNTY,,BREA,CALIFORNIA,"Changnin T. Lee, MD",26,24,23,16,53.8%,58.3%,30.4%,7 / 16,46.2%,54.2%,30.4%,7 / 16,24,18,18,14,58.3%,14 / 18,7 / 18,7 / 14,50.0%,13 / 18,7 / 18,7 / 14,31,18,14,9,45.2%,14 / 18,7 / 14,7 / 9,38.7%,13 / 18,7 / 14,7 / 9,1.9,1.7,3.3,2.3,60.0%,6 / 14,5 / 16,* / 7,60.0%,10 / 14,5 / 16,* / 7,60.0%,10 / 14,5 / 16,* / 7,1.0,1.3,1.1,1.1,1.2,0.8,0.6,0.6,0,0,22,*,,,45.5%,* / *,,,36.4%,* / *,63,69,62,49,243,17.4%,9.4%,23.5%,5 / 19,18.5%,1.7%,4.5%,3.7%,9.1%,4.5%,0.0%,4.3%,1.6%,0.0%,1.6%,5.1%,2.8%,7.4%,40.0%,12.9%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,93.3%,98.5%,97.4%,100.0%,100.0%,100.0%,99.2%,16%,0%,19%,10%,1%,92%,3%,32%,94%,10%,2%,6%,26%,Yes,Yes,Yes,Yes,Yes,No,Yes,0,CA
25,CENTRAL CALIFORNIA IVF PROGRAM,WOMEN'S SPECIALTY AND FERTILITY CENTER,CLOVIS,CALIFORNIA,"Carlos SUELDO, MD",65,50,37,16,44.6%,30.0%,29.7%,0 / 16,43.1%,24.0%,18.9%,0 / 16,63,44,34,12,46.0%,34.1%,32.4%,0 / 12,44.4%,27.3%,20.6%,0 / 12,87,51,45,6,33.3%,29.4%,24.4%,0 / 6,32.2%,23.5%,15.6%,0 / 6,2.2,3.3,3.4,,46.4%,31.3%,21.7%,0 / 9,48.2%,31.3%,30.4%,0 / 9,48.2%,31.3%,30.4%,0 / 9,1.1,1.1,1.2,1.2,1.3,1.1,1.3,0.5,*,*,11,0,0 / *,0 / *,* / 11,,0 / *,0 / *,* / 11,,169,77,65,52,363,6.2%,17.1%,28.2%,39.3%,17.1%,17.8%,16.9%,13.0%,19.5%,17.0%,5.9%,7.8%,0.0%,3.8%,5.0%,4.3%,9.8%,4.7%,3.8%,5.5%,53.9%,68.6%,51.2%,65.4%,57.9%,94.8%,96.1%,100.0%,80.8%,94.5%,6.1%,7.8%,14.0%,19.2%,9.4%,22%,6%,13%,16%,2%,4%,<1%,39%,12%,1%,7%,3%,7%,Yes,Yes,Yes,Yes,Yes,Yes,Yes,0,CA
26,CALIFORNIA CENTER FOR REPRODUCTIVE MEDICINE,,ENCINITAS,CALIFORNIA,"Lori L. Arnold, MD",14,15,8,9,6 / 14,7 / 15,* / 8,0 / 9,6 / 14,6 / 15,* / 8,0 / 9,14,14,7,8,6 / 14,7 / 14,* / 7,0 / 8,6 / 14,6 / 14,* / 7,0 / 8,11,13,5,*,6 / 11,7 / 13,* / 5,0 / *,6 / 11,6 / 13,* / 5,0 / *,2.3,2.1,8.0,,5 / 12,6 / 11,* / *,0 / 8,5 / 12,6 / 11,* / *,0 / 8,5 / 12,6 / 11,* / *,0 / 8,1.0,1.2,1.0,1.0,0.6,0.8,0.8,0.1,*,0,36,0,* / *,,83.3%,,* / *,,69.4%,,34,24,17,59,134,0 / 12,0 / 8,0 / 7,3.7%,1.9%,0.0%,0.0%,* / 17,12.1%,7.5%,0.0%,0.0%,0 / 17,0.0%,0.0%,47.8%,5 / 16,6 / 10,81.8%,59.8%,95.7%,16 / 16,10 / 10,93.9%,96.3%,100.0%,14 / 16,9 / 10,93.9%,93.9%,91.3%,15 / 16,10 / 10,93.9%,93.9%,22%,1%,1%,3%,2%,7%,29%,37%,37%,5%,16%,1%,4%,Yes,Yes,Yes,Yes,Yes,Yes,Yes,0,CA
27,"THE FERTILITY INSTITUTES-LOS ANGELES, NEW YORK, GUADALAJARA",,ENCINO,CALIFORNIA,"Jeffrey Steinberg, MD",44,31,26,6,20.5%,29.0%,19.2%,* / 6,20.5%,29.0%,19.2%,0 / 6,42,31,26,6,21.4%,29.0%,19.2%,* / 6,21.4%,29.0%,19.2%,0 / 6,24,11,16,5,37.5%,9 / 11,5 / 16,* / 5,37.5%,9 / 11,5 / 16,0 / 5,4.9,3.4,5.2,6.0,,,,,,,,,,,,,,,,,,,,,*,0,8,0,* / *,,* / 8,,* / *,,* / 8,,52,43,23,36,154,0.0%,4.9%,0 / 18,0.0%,1.7%,3.8%,19.5%,26.1%,16.7%,14.5%,7.7%,2.3%,8.7%,8.3%,6.5%,9.4%,0 / 18,* / 11,10 / 17,17.9%,59.4%,5 / 18,6 / 11,10 / 17,51.3%,100.0%,18 / 18,11 / 11,17 / 17,100.0%,87.5%,14 / 18,10 / 11,14 / 17,84.6%,1%,0%,0%,0%,0%,88%,6%,1%,23%,1%,8%,1%,1%,Yes,Yes,Yes,Yes,Yes,No,Yes,0,CA
28,LOS ANGELES REPRODUCTIVE CENTER (LARC),,ENCINO,CALIFORNIA,"Nurit Winkler, MD",41,31,31,31,51.2%,54.8%,22.6%,3.2%,46.3%,54.8%,19.4%,3.2%,41,30,27,29,51.2%,56.7%,25.9%,3.4%,46.3%,56.7%,22.2%,3.4%,32,19,11,9,65.6%,17 / 19,7 / 11,* / 9,59.4%,17 / 19,6 / 11,* / 9,2.0,1.8,4.4,31.0,42.9%,11 / 18,5 / 15,* / 17,57.1%,12 / 18,5 / 15,* / 17,57.1%,12 / 18,6 / 15,* / 17,1.1,1.3,1.3,1.1,0.8,0.7,0.5,0.3,0,0,36,0,,,77.8%,,,,69.4%,,122,87,82,109,400,1.6%,3.9%,2.2%,13.4%,5.8%,5.0%,10.6%,17.3%,14.0%,11.1%,4.1%,9.2%,6.1%,3.7%,5.5%,12.1%,10.3%,13.8%,29.7%,16.3%,98.3%,100.0%,96.6%,100.0%,98.7%,87.9%,82.8%,82.8%,75.7%,83.0%,74.1%,72.4%,69.0%,18.9%,59.5%,32%,6%,5%,6%,7%,5%,7%,36%,53%,5%,19%,10%,8%,Yes,No,Yes,Yes,Yes,Yes,Pending,0,CA
29,WESTERN FERTILITY INSTITUTE,,ENCINO,CALIFORNIA,"Ashim V. Kumar, MD",42,34,28,57,85.7%,44.1%,25.0%,3.5%,76.2%,41.2%,25.0%,3.5%,42,32,24,30,85.7%,46.9%,29.2%,6.7%,76.2%,43.8%,29.2%,6.7%,44,28,15,*,81.8%,53.6%,7 / 15,* / *,72.7%,50.0%,7 / 15,* / *,1.2,2.3,4.0,28.5,83.3%,40.9%,* / 12,3.4%,86.1%,50.0%,* / 12,3.4%,86.1%,50.0%,* / 12,3.4%,1.0,1.1,1.3,1.1,1.1,0.8,0.5,0.1,0,0,189,6,,,72.5%,5 / 6,,,61.4%,5 / 6,204,152,120,292,768,2.9%,4.3%,8.1%,9.3%,6.1%,7.5%,7.4%,8.7%,14.2%,10.2%,27.9%,32.2%,25.0%,18.8%,24.9%,41.9%,63.2%,67.9%,67.8%,60.2%,97.8%,100.0%,100.0%,100.0%,99.4%,2.2%,0.0%,0.0%,0.7%,0.9%,98.9%,100.0%,100.0%,99.3%,99.4%,11%,2%,1%,24%,3%,3%,14%,20%,21%,8%,10%,25%,3%,Yes,Yes,Yes,Yes,Yes,No,Yes,0,CA
30,ZOUVES FERTILITY CENTER,,FOSTER CITY,CALIFORNIA,"Christo G. Zouves, MD",65,92,93,90,43.1%,30.4%,19.4%,8.9%,43.1%,27.2%,17.2%,8.9%,65,90,91,81,43.1%,31.1%,19.8%,9.9%,43.1%,27.8%,17.6%,9.9%,50,74,42,19,56.0%,37.8%,42.9%,8 / 19,56.0%,33.8%,38.1%,8 / 19,2.3,3.3,5.2,11.3,48.6%,31.0%,19.2%,14.3%,56.8%,42.9%,34.6%,14.3%,59.5%,47.6%,38.5%,14.3%,1.3,1.4,1.5,1.6,0.7,0.9,0.4,0.3,0,*,68,0,,* / *,32.4%,,,* / *,29.4%,,119,180,181,192,672,1.4%,2.2%,2.0%,8.1%,3.6%,8.5%,7.3%,20.1%,25.5%,16.1%,6.7%,12.2%,6.6%,4.7%,7.6%,2.2%,8.0%,21.8%,37.1%,19.3%,100.0%,100.0%,100.0%,96.6%,99.0%,100.0%,96.6%,84.6%,78.7%,88.7%,100.0%,100.0%,98.7%,95.5%,98.3%,22%,10%,6%,19%,3%,1%,3%,35%,54%,3%,7%,4%,5%,No,No,Yes,Yes,Yes,Yes,Yes,0,CA
